Strain_ID,Amoxicillin_Clavulanic_acid,Ampicillin,Ceftiofur,Doxycycline,Enrofloxacin,Florfenicol,Gentamicin,Oxytetracycline,Penicillin,Spectinomycin,Tiamulin,Trimethoprim_Sulphamethoxazole,Tulathromycin
1812,0,0,0,1,0,0,0,1,0,0,0,0,0
1814,0,0,0,1,0,0,0,1,0,0,0,0,0
1815,0,0,0,1,0,0,0,1,0,0,0,0,0
1845,0,0,0,1,1,0,0,1,0,0,1,0,1
1849,0,0,0,1,0,0,0,1,0,1,1,0,0
1862,0,0,0,1,0,0,0,1,0,1,1,0,0
1863,0,0,0,1,0,0,0,1,0,0,0,0,1
1864,0,0,0,1,0,0,0,1,0,0,0,0,1
1883,0,0,0,1,0,0,0,1,0,1,0,0,1
1884,0,0,0,1,0,0,0,1,0,1,0,0,1
1885,0,0,0,1,0,0,0,1,0,1,0,0,1
1886,0,0,0,1,0,0,0,1,0,1,0,0,1
1890,0,0,0,1,0,0,0,1,0,0,0,0,1
1892,0,0,0,0,0,0,0,0,0,0,0,0,1
1893,0,0,0,0,0,0,0,0,0,0,0,0,1
1898,0,0,0,0,0,0,0,1,0,0,0,0,0
1901,0,0,0,1,0,0,0,1,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,1,0,0,0,1,0,1,0,0,1
1913,0,0,0,1,0,0,0,1,0,1,0,0,1
1914,0,0,0,1,0,0,0,1,0,1,0,0,1
1915,0,0,0,1,0,0,0,1,0,1,0,0,1
1925,0,0,0,1,0,0,0,1,0,0,0,0,1
1927,0,0,0,1,0,0,0,1,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,1,0,0,0,1,0,1,1,0,0
1955,0,0,1,1,0,0,0,1,1,0,0,1,1
1982,0,0,0,1,0,0,0,1,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,1,0,0,0,1,0,0,0,0,1
2027,0,0,0,1,0,0,0,1,0,0,0,0,1
2028,0,0,0,1,0,0,0,1,0,1,1,0,1
2030,0,0,0,1,0,0,0,1,0,0,0,0,1
2031,0,0,0,1,0,0,0,1,0,1,0,0,0
2045,0,0,0,1,0,0,0,1,0,0,0,0,1
2047,0,0,0,1,0,0,0,1,0,1,0,0,1
2049,0,0,0,0,0,0,0,1,0,0,0,0,0
2054,0,0,0,1,0,0,0,1,1,0,1,0,1
2074,0,0,0,1,0,0,0,1,0,0,0,0,1
2075,0,0,0,1,0,0,0,1,0,0,0,0,0
2076,0,0,0,1,0,0,0,1,0,1,1,0,1
2077,0,0,0,1,0,0,0,1,0,0,0,0,1
2078,0,0,0,0,0,0,0,1,0,0,0,1,1
2079,0,0,0,1,0,0,0,1,0,1,1,0,0
2081,0,0,0,0,0,0,0,0,0,1,1,0,0
2083,0,0,0,1,0,0,0,1,0,0,0,0,1
2085,0,0,0,1,0,0,0,1,0,0,0,0,0
2093,0,0,0,1,0,0,0,1,0,0,0,0,0
2094,0,0,0,1,0,0,0,1,0,0,0,0,0
2096,0,0,0,1,0,0,0,1,0,1,1,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,0,0,0,1,0,0,0,1,0,1,1,0,1
2109,0,0,0,1,0,0,0,1,0,1,0,0,1
2110,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,0,0,0,1,0,0,0,1,0,1,0,0,1
2135,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,0,0,0,0,0,0,0,0,0,0,0,0,0
2145,0,0,0,1,0,0,0,1,0,0,0,0,0
2147,0,0,0,0,0,0,0,0,0,0,0,0,0
2154,0,0,0,0,0,0,0,0,0,1,0,0,1
2157,0,0,0,0,0,0,0,0,0,0,0,0,0
2158,0,0,0,1,0,0,0,1,0,0,0,0,0
2159,0,0,0,1,0,0,0,1,0,1,1,0,1
2160,0,0,0,0,0,0,0,1,0,1,0,0,1
2161,0,0,0,0,0,0,0,1,0,0,0,0,0
2166,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,0,0,0,1,0,0,0,1,0,1,0,0,1
2185,0,0,0,1,0,0,0,1,0,0,0,0,0
2188,0,0,0,1,0,0,0,1,0,0,0,0,0
2194,0,0,0,1,1,0,0,1,0,0,1,1,0
2195,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,0,0,0,0,0,0,0,1,0,1,0,0,1
2198,0,0,0,0,0,0,0,1,0,1,1,0,1
2201,0,0,0,1,0,0,1,1,0,0,0,0,1
2202,0,0,0,0,0,0,0,0,0,0,1,0,0
2204,0,0,0,1,0,0,0,1,0,0,0,0,0
2214,0,0,0,0,0,0,0,0,0,0,0,0,1
2217,0,0,0,1,0,0,0,1,0,1,1,0,1
2219,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0,0,0,0,0,1
2221,0,1,1,1,0,0,0,1,1,0,0,0,1
2222,0,0,0,1,0,1,0,1,0,1,1,1,1
2223,0,0,0,1,0,0,0,1,0,0,1,1,1
2224,0,0,0,1,0,0,0,1,0,0,0,0,0
2240,0,0,0,1,0,0,0,1,0,0,0,1,1
2241,0,0,0,1,0,0,0,1,0,0,0,0,1
2242,0,0,0,1,1,0,0,1,0,0,0,0,1
2243,0,0,0,1,0,0,0,1,0,0,0,0,0
