Strain_ID,MLST
2157,28
2083,28
2093,28
2204,28
2085,28
1982,28
2241,28
2147,28
2030,28
2101,28
2096,28
2145,28
2188,28
1927,28
2242,29
2158,29
2168,29
2081,29
2166,29
2159,29
2219,29
2094,29
1812,29
1814,29
1815,29
2220,94
2028,108
2195,108
2008,108
2074,2094
2110,2919
2097,54
2197,54
2198,54
2027,2914
2185,None
1862,54
2161,2074
2202,2921
2135,1521
2137,1521
2112,1521
1883,1801
1884,1801
1885,1801
1886,1801
1912,1801
1913,1801
1914,1801
1915,1801
2109,1801
2128,1801
2160,1801
2170,1801
2243,2952
2223,2923
2054,2916
2049,2915
2078,2918
2194,2920
2077,2917
1955,2913
2221,2922
1898,648
2222,87
1936,87
2079,87
2075,87
1849,87
1845,87
2076,87
1901,87
2009,87
1864,87
1863,87
2045,1
1893,1508
1892,1508
2240,2924
2224,16
2127,16
1925,2911
1890,2911
2217,17
1934,17
2154,17
2031,17
1905,17
2201,17
2214,17
2047,17
